,x,y,z
0,0.0,0.0,0.392
1,0.1989700043360188,0.0,0.496
2,0.3494850021680094,0.0,0.5
3,0.5000000000000002,0.0,0.5
4,0.6989700043360192,0.0,0.5
5,0.8494850021680096,0.0,0.5
6,1.0000000000000002,0.0,0.5
7,0.0,0.2631578947368421,0.2859999999999999
8,0.1989700043360188,0.2631578947368421,0.472
9,0.3494850021680094,0.2631578947368421,0.494
10,0.5000000000000002,0.2631578947368421,0.5
11,0.6989700043360192,0.2631578947368421,0.5
12,0.8494850021680096,0.2631578947368421,0.5
13,1.0000000000000002,0.2631578947368421,0.5
14,0.0,0.5263157894736842,0.0939999999999999
15,0.1989700043360188,0.5263157894736842,0.304
16,0.3494850021680094,0.5263157894736842,0.4340000000000001
17,0.5000000000000002,0.5263157894736842,0.496
18,0.6989700043360192,0.5263157894736842,0.5
19,0.8494850021680096,0.5263157894736842,0.5
20,1.0000000000000002,0.5263157894736842,0.5
21,0.0,0.631578947368421,-0.0359999999999999
22,0.1989700043360188,0.631578947368421,0.118
23,0.3494850021680094,0.631578947368421,0.3079999999999999
24,0.5000000000000002,0.631578947368421,0.46
25,0.6989700043360192,0.631578947368421,0.5
26,0.8494850021680096,0.631578947368421,0.5
27,1.0000000000000002,0.631578947368421,0.5
28,0.0,0.7368421052631579,-0.0519999999999999
29,0.1989700043360188,0.7368421052631579,-0.0419999999999999
30,0.3494850021680094,0.7368421052631579,0.12
31,0.5000000000000002,0.7368421052631579,0.3279999999999999
32,0.6989700043360192,0.7368421052631579,0.48
33,0.8494850021680096,0.7368421052631579,0.5
34,1.0000000000000002,0.7368421052631579,0.5
35,0.0,0.8421052631578948,-0.212
36,0.1989700043360188,0.8421052631578948,-0.192
37,0.3494850021680094,0.8421052631578948,-0.12
38,0.5000000000000002,0.8421052631578948,0.004
39,0.6989700043360192,0.8421052631578948,0.2659999999999999
40,0.8494850021680096,0.8421052631578948,0.4379999999999999
41,1.0000000000000002,0.8421052631578948,0.496
42,0.0,0.9473684210526316,-0.32
43,0.1989700043360188,0.9473684210526316,-0.362
44,0.3494850021680094,0.9473684210526316,-0.348
45,0.5000000000000002,0.9473684210526316,-0.352
46,0.6989700043360192,0.9473684210526316,-0.304
47,0.8494850021680096,0.9473684210526316,-0.247
48,1.0000000000000002,0.9473684210526316,-0.145
49,0.0,1.0,-0.328
50,0.1989700043360188,1.0,-0.414
51,0.3494850021680094,1.0,-0.454
52,0.5000000000000002,1.0,-0.46
53,0.6989700043360192,1.0,-0.478
54,0.8494850021680096,1.0,-0.474180734856008
55,1.0000000000000002,1.0,-0.49
